id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
,Darkness Energy,Pokemon 2022 Energies,14,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Bisharp #147,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 147/217; Normal; Common,0,1,2026-08-23,,,,
,Boss's Orders #183,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 183/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Buddy-Buddy Poffin #184,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 184/217; Normal; Common,0,1,2026-08-23,,,,
,Budew #16,Pokemon Ascended Heroes,19,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 016/217; Normal; Common,0,1,2026-08-23,,,,
,Canari #185,Pokemon Ascended Heroes,22,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 185/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Carkol #119,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 119/217; Normal; Common,0,1,2026-08-23,,,,
,Carkol [Dusk Ball] #119,Pokemon Ascended Heroes,19,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 119/217; Dusk Ball Reverse Holo; Common,0,1,2026-08-23,,,,
,Cascoon #14,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 014/217; Normal; Common,0,1,2026-08-23,,,,
,Charjabug #65,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 065/217; Normal; Common,0,1,2026-08-23,,,,
,Charmander #20,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 020/217; Normal; Common,0,1,2026-08-23,,,,
,Charmander [Friend Ball] #20,Pokemon Ascended Heroes,33,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 020/217; Friend Ball Reverse Holo; Common,0,1,2026-08-23,,,,
,Charmeleon #21,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 021/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Chikorita #8,Pokemon Ascended Heroes,25,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 008/217; Normal; Common,0,1,2026-08-23,,,,
,Chikorita [Friend Ball] #8,Pokemon Ascended Heroes,26,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 008/217; Friend Ball Reverse Holo; Common,0,1,2026-08-23,,,,
,Clefable #75,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 075/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Clefairy #74,Pokemon Ascended Heroes,23,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 074/217; Normal; Common,0,1,2026-08-23,,,,
,Coalossal [Holo] #120,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 120/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Counter Gain #186,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 186/217; Normal; Common,0,1,2026-08-23,,,,
,Cynthia's Gible #109,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 109/217; Normal; Common,0,1,2026-08-23,,,,
,Delcatty #166,Pokemon Ascended Heroes,6,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 166/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Dragonair #151,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 151/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Drakloak #159,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 159/217; Normal; Common,0,1,2026-08-23,,,,
,Drampa #176,Pokemon Ascended Heroes,7,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 176/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Dratini #150,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 150/217; Normal; Common,0,1,2026-08-23,,,,
,Dreepy #158,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 158/217; Normal; Common,0,1,2026-08-23,,,,
,Dustox #15,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 015/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Eelektrik #60,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 060/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Entei [Holo] #25,Pokemon Ascended Heroes,22,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 025/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Erika's Bellsprout #4,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 004/217; Normal; Common,0,1,2026-08-23,,,,
,Erika's Gloom #2,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 002/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Erika's Oddish #1,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 001/217; Normal; Common,0,1,2026-08-23,,,,
,Erika's Tangela #7,Pokemon Ascended Heroes,11,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 007/217; Normal; Common,0,1,2026-08-23,,,,
,Erika's Tangela [Poke Ball] #7,Pokemon Ascended Heroes,22,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 007/217; Poké Ball Reverse Holo; Common,0,1,2026-08-23,,,,
,Erika's Vileplume ex [Holo] #3,Pokemon Ascended Heroes,98,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 003/217; Normal Holo; Double Rare,0,1,2026-08-23,,,,
,Erika's Weepinbell #5,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 005/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Ethan's Ho-Oh ex [Holo] #26,Pokemon Ascended Heroes,70,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 026/217; Normal Holo; Double Rare,0,1,2026-08-23,,,,
,Ethan's Magcargo [Holo] #24,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 024/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Ethan's Slugma #23,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 023/217; Normal; Common,0,1,2026-08-23,,,,
,Fighting Gong #187,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 187/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Forest of Vitality #188,Pokemon Ascended Heroes,21,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 188/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Frosmoth #53,Pokemon Ascended Heroes,6,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 053/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Frosmoth [Reverse Holo] #53,Pokemon Ascended Heroes,26,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 053/217; Energy Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Galarian Linoone #131,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 131/217; Normal; Common,0,1,2026-08-23,,,,
,Galarian Zigzagoon #130,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 130/217; Normal; Common,0,1,2026-08-23,,,,
,Gastly #123,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 123/217; Normal; Common,0,1,2026-08-23,,,,
,Glass Trumpet #189,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 189/217; Normal; Common,0,1,2026-08-23,,,,
,Glastrier #54,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 054/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Golduck #40,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 040/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Groudon [Holo] #108,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 108/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Grubbin #17,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 017/217; Normal; Common,0,1,2026-08-23,,,,
,Haunter #124,Pokemon Ascended Heroes,19,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 124/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Hitmontop #102,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 102/217; Normal; Common,0,1,2026-08-23,,,,
,Hop's Cramorant #177,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 177/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Hop's Trevenant [Holo] #237,Pokemon Ascended Heroes,425,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 237/217; Normal Holo; Illustration Rare,0,1,2026-08-23,,,,
,Iono's Kilowattrel [Holo] #72,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 072/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Iono's Tadbulb #69,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 069/217; Normal; Common,0,1,2026-08-23,,,,
,Iris's Fighting Spirit #190,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 190/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Kingambit [Holo] #148,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 148/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Kirlia #88,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 088/217; Normal; Common,0,1,2026-08-23,,,,
,Larry's Braviary #174,Pokemon Ascended Heroes,5,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 174/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Larry's Dunsparce #163,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 163/217; Normal; Common,0,1,2026-08-23,,,,
,Larry's Komala #175,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 175/217; Normal; Common,0,1,2026-08-23,,,,
,Larry's Rufflet #173,Pokemon Ascended Heroes,9,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 173/217; Normal; Common,0,1,2026-08-23,,,,
,Larry's Rufflet [Reverse Holo] #173,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 173/217; Energy Reverse Holo; Common,0,1,2026-08-23,,,,
,Larry's Staravia #169,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 169/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Larry's Starly #168,Pokemon Ascended Heroes,5,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 168/217; Normal; Common,0,1,2026-08-23,,,,
,Light Ball [Reverse Holo] #191,Pokemon Ascended Heroes,34,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 191/217; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Lillie's Clefairy ex [Holo] #76,Pokemon Ascended Heroes,151,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 076/217; Normal Holo; Double Rare,0,1,2026-08-23,,,,
,Lillie's Determination #192,Pokemon Ascended Heroes,30,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 192/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Marill #83,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 083/217; Normal; Common,0,1,2026-08-23,,,,
,Mawile #144,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 144/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Meditite #103,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 103/217; Normal; Common,0,1,2026-08-23,,,,
,Mega Audino ex [Holo] #172,Pokemon Ascended Heroes,103,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 172/217; Normal Holo; Double Rare,0,1,2026-08-23,,,,
,Mega Dragonite ex [Holo] #152,Pokemon Ascended Heroes,466,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 152/217; Normal Holo; Double Rare,0,1,2026-08-23,,,,
,Mega Hawlucha ex [Holo] #268,Pokemon Ascended Heroes,599,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 268/217; Normal Holo; Mega Attack Rare,0,1,2026-08-23,,,,
,Mega Signal #193,Pokemon Ascended Heroes,22,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 193/217; Normal; Common,0,1,2026-08-23,,,,
,Mightyena #129,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 129/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Mightyena [Holo] #243,Pokemon Ascended Heroes,736,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 243/217; Normal Holo; Illustration Rare,0,1,2026-08-23,,,,
,Misdreavus #85,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 085/217; Normal; Common,0,1,2026-08-23,,,,
,Mismagius [Holo] #86,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 086/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Mismagius [Reverse Holo] #86,Pokemon Ascended Heroes,26,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 086/217; Energy Reverse Holo; Rare,0,1,2026-08-23,,,,
,N's Darmanitan #33,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 033/217; Normal; Uncommon,0,1,2026-08-23,,,,
,N's Darumaka #32,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 032/217; Normal; Common,0,1,2026-08-23,,,,
,N's Vanillish #50,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 050/217; Normal; Common,0,1,2026-08-23,,,,
,N's Vanillish [Poke Ball] #50,Pokemon Ascended Heroes,23,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 050/217; Poké Ball Reverse Holo; Common,0,1,2026-08-23,,,,
,N's Vanillite #49,Pokemon Ascended Heroes,9,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 049/217; Normal; Common,0,1,2026-08-23,,,,
,N's Vanilluxe #51,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 051/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Night Stretcher #196,Pokemon Ascended Heroes,23,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 196/217; Normal; Common,0,1,2026-08-23,,,,
,Nighttime Mine #197,Pokemon Ascended Heroes,24,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 197/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Noivern #157,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 157/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Numel #27,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 027/217; Normal; Common,0,1,2026-08-23,,,,
,Pancham #115,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 115/217; Normal; Common,0,1,2026-08-23,,,,
,Pangoro #140,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 140/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Pawniard #146,Pokemon Ascended Heroes,9,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 146/217; Normal; Common,0,1,2026-08-23,,,,
,Pecharunt [Holo] #143,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 143/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Pecharunt [Poke Ball] #143,Pokemon Ascended Heroes,30,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 143/217; Poké Ball Reverse Holo; Rare,0,1,2026-08-23,,,,
,Pignite #30,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 030/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Pikachu #55,Pokemon Ascended Heroes,33,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 055/217; Normal; Common,0,1,2026-08-23,,,,
,Poké Pad #198,Pokemon Ascended Heroes,37,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 198/217; Normal; Common,0,1,2026-08-23,,,,
,Poochyena #128,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 128/217; Normal; Common,0,1,2026-08-23,,,,
,Premium Power Pro #199,Pokemon Ascended Heroes,21,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 199/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Premium Power Pro [Reverse Holo] #199,Pokemon Ascended Heroes,27,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 199/217; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Prism Energy #216,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 216/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Psyduck #39,Pokemon Ascended Heroes,30,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 039/217; Normal; Common,0,1,2026-08-23,,,,
,Raboot #37,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 037/217; Normal; Common,0,1,2026-08-23,,,,
,Ralts #87,Pokemon Ascended Heroes,14,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 087/217; Normal; Common,0,1,2026-08-23,,,,
,Riolu #112,Pokemon Ascended Heroes,11,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 112/217; Normal; Common,0,1,2026-08-23,,,,
,Rolycoly #118,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 118/217; Normal; Common,0,1,2026-08-23,,,,
,Rotom #92,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 092/217; Normal; Common,0,1,2026-08-23,,,,
,Salandit #34,Pokemon Ascended Heroes,9,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 034/217; Normal; Common,0,1,2026-08-23,,,,
,Salazzle [Holo] #224,Pokemon Ascended Heroes,249,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 224/217; Normal Holo; Illustration Rare,0,1,2026-08-23,,,,
,Scorbunny #36,Pokemon Ascended Heroes,4,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 036/217; Normal; Common,0,1,2026-08-23,,,,
,Scraggy #134,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 134/217; Normal; Common,0,1,2026-08-23,,,,
,Shuppet #90,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 090/217; Normal; Common,0,1,2026-08-23,,,,
,Skitty #165,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 165/217; Normal; Common,0,1,2026-08-23,,,,
,Slurpuff #94,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 094/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Slurpuff [Reverse Holo] #94,Pokemon Ascended Heroes,25,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 094/217; Energy Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Sneasel #44,Pokemon Ascended Heroes,9,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 044/217; Normal; Common,0,1,2026-08-23,,,,
,Snom #52,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 052/217; Normal; Common,0,1,2026-08-23,,,,
,Snorunt #46,Pokemon Ascended Heroes,19,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 046/217; Normal; Common,0,1,2026-08-23,,,,
,Solrock #106,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 106/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Surfer #200,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 200/217; Normal; Common,0,1,2026-08-23,,,,
,Swirlix #93,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 093/217; Normal; Common,0,1,2026-08-23,,,,
,Tapu Koko [Holo] #67,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 067/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Team Rocket's Archer #201,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 201/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Diglett #100,Pokemon Ascended Heroes,7,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 100/217; Normal; Common,0,1,2026-08-23,,,,
,Team Rocket's Dugtrio #101,Pokemon Ascended Heroes,4,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 101/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Energy #217,Pokemon Ascended Heroes,23,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 217/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Exeggcute #77,Pokemon Ascended Heroes,8,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 077/217; Normal; Common,0,1,2026-08-23,,,,
,Team Rocket's Exeggutor [Holo] #78,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 078/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Team Rocket's Factory #203,Pokemon Ascended Heroes,21,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 203/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Great Ball #205,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 205/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Hypnotizer #206,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 206/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Meowth #161,Pokemon Ascended Heroes,13,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 161/217; Normal; Common,0,1,2026-08-23,,,,
,Team Rocket's Mimikyu #97,Pokemon Ascended Heroes,20,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 097/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Murkrow #126,Pokemon Ascended Heroes,18,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 126/217; Normal; Common,0,1,2026-08-23,,,,
,Team Rocket's Petrel #207,Pokemon Ascended Heroes,32,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 207/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Petrel [Reverse Holo] #207,Pokemon Ascended Heroes,64,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 207/217; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Proton #208,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 208/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Team Rocket's Spidops [Holo] #19,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 019/217; Normal Holo; Rare,0,1,2026-08-23,,,,
,Team Rocket's Tarountula #18,Pokemon Ascended Heroes,16,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 018/217; Normal; Common,0,1,2026-08-23,,,,
,Team Rocket's Watchtower #210,Pokemon Ascended Heroes,17,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 210/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Tepig #29,Pokemon Ascended Heroes,10,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 029/217; Normal; Common,0,1,2026-08-23,,,,
