source-card,source-number,source-variant,source-rarity,source-quantity,generated-variant-product,generated-plain-product,scp-existing-products,existing-exact-quantity,existing-plain-quantity,existing-base-quantity,missing-quantity,status,recommendation
Meowstic,061/163,Normal Holo,Rare Holo,1,Meowstic [Holo] #61,Meowstic #61,Meowstic #61,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Dottler,064/163,Normal,Uncommon,1,Dottler #64,Dottler #64,Dottler #64,1,1,1,0,covered_exact,do_not_import
Orbeetle,065/163,Normal Holo,Rare Holo,1,Orbeetle [Holo] #65,Orbeetle #65,Orbeetle #65,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Mankey,066/163,Normal,Common,1,Mankey #66,Mankey #66,Mankey [Reverse Holo] #66; Mankey #66,1,1,2,0,covered_exact,do_not_import
Mankey,066/163,Reverse Holo,Common,1,Mankey [Reverse Holo] #66,Mankey [Reverse Holo] #66,Mankey [Reverse Holo] #66; Mankey #66,1,1,2,0,covered_exact,do_not_import
Primeape,067/163,Reverse Holo,Rare,1,Primeape [Reverse Holo] #67,Primeape [Reverse Holo] #67,Primeape [Reverse Holo] #67,1,1,1,0,covered_exact,do_not_import
Onix,068/163,Normal,Common,1,Onix #68,Onix #68,Onix #68,1,1,1,0,covered_exact,do_not_import
Cubone,069/163,Normal,Common,1,Cubone #69,Cubone #69,Cubone #69,1,1,1,0,covered_exact,do_not_import
Marowak,070/163,Normal,Rare,1,Marowak #70,Marowak #70,Marowak #70,1,1,1,0,covered_exact,do_not_import
Gligar,071/163,Normal,Common,1,Gligar #71,Gligar #71,Gligar #71,1,1,1,0,covered_exact,do_not_import
Gliscor,072/163,Normal,Uncommon,1,Gliscor #72,Gliscor #72,Gliscor #72,1,1,1,0,covered_exact,do_not_import
Timburr,073/163,Normal,Common,1,Timburr #73,Timburr #73,Timburr #73,1,1,1,0,covered_exact,do_not_import
Gurdurr,074/163,Normal,Uncommon,1,Gurdurr #74,Gurdurr #74,Gurdurr [Reverse Holo] #74; Gurdurr #74,1,1,2,0,covered_exact,do_not_import
Gurdurr,074/163,Reverse Holo,Uncommon,1,Gurdurr [Reverse Holo] #74,Gurdurr [Reverse Holo] #74,Gurdurr [Reverse Holo] #74; Gurdurr #74,1,1,2,0,covered_exact,do_not_import
Conkeldurr,075/163,Normal,Rare,1,Conkeldurr #75,Conkeldurr #75,Conkeldurr #75,1,1,1,0,covered_exact,do_not_import
Mienfoo,076/163,Normal,Common,1,Mienfoo #76,Mienfoo #76,Mienfoo #76,1,1,1,0,covered_exact,do_not_import
Mienshao,077/163,Normal,Rare,1,Mienshao #77,Mienshao #77,Mienshao #77,1,1,1,0,covered_exact,do_not_import
Rolycoly,078/163,Normal,Common,1,Rolycoly #78,Rolycoly #78,Rolycoly #78; Rolycoly [Reverse Holo] #78,1,1,2,0,covered_exact,do_not_import
Rolycoly,078/163,Reverse Holo,Common,1,Rolycoly [Reverse Holo] #78,Rolycoly [Reverse Holo] #78,Rolycoly #78; Rolycoly [Reverse Holo] #78,1,1,2,0,covered_exact,do_not_import
Carkol,079/163,Normal,Uncommon,1,Carkol #79,Carkol #79,Carkol #79,1,1,1,0,covered_exact,do_not_import
Silicobra,081/163,Normal,Common,1,Silicobra #81,Silicobra #81,Silicobra #81,1,1,1,0,covered_exact,do_not_import
Sandaconda,082/163,Reverse Holo,Rare Holo,1,Sandaconda [Reverse Holo] #82,Sandaconda [Reverse Holo] #82,Sandaconda [Reverse Holo] #82,1,1,1,0,covered_exact,do_not_import
Falinks,083/163,Normal,Rare,1,Falinks #83,Falinks #83,Falinks #83,1,1,1,0,covered_exact,do_not_import
Stonjourner,084/163,Normal,Rare,1,Stonjourner #84,Stonjourner #84,Stonjourner #84,1,1,1,0,covered_exact,do_not_import
Single Strike Urshifu V,085/163,Normal Holo,Holo Rare V,1,Single Strike Urshifu V [Holo] #85,Single Strike Urshifu V #85,Single Strike Urshifu V #85,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Rapid Strike Urshifu VMAX,088/163,Normal Holo,Holo Rare VMAX,1,Rapid Strike Urshifu VMAX [Holo] #88,Rapid Strike Urshifu VMAX #88,Rapid Strike Urshifu VMAX #88,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Zubat,089/163,Normal,Common,1,Zubat #89,Zubat #89,Zubat #89,1,1,1,0,covered_exact,do_not_import
Golbat,090/163,Normal,Uncommon,1,Golbat #90,Golbat #90,Golbat #90,1,1,1,0,covered_exact,do_not_import
Galarian Slowbro,092/163,Normal,Rare,1,Galarian Slowbro #92,Galarian Slowbro #92,Galarian Slowbro #92,1,1,1,0,covered_exact,do_not_import
Murkrow,093/163,Normal,Common,1,Murkrow #93,Murkrow #93,Murkrow #93,1,1,1,0,covered_exact,do_not_import
Honchkrow,094/163,Reverse Holo,Uncommon,1,Honchkrow [Reverse Holo] #94,Honchkrow [Reverse Holo] #94,Honchkrow [Reverse Holo] #94,1,1,1,0,covered_exact,do_not_import
Houndour,095/163,Normal,Common,1,Houndour #95,Houndour #95,Houndour [Reverse Holo] #95; Houndour #95,1,1,2,0,covered_exact,do_not_import
Houndour,095/163,Reverse Holo,Common,1,Houndour [Reverse Holo] #95,Houndour [Reverse Holo] #95,Houndour [Reverse Holo] #95; Houndour #95,1,1,2,0,covered_exact,do_not_import
Houndoom,096/163,Reverse Holo,Rare Holo,1,Houndoom [Reverse Holo] #96,Houndoom [Reverse Holo] #96,Houndoom [Reverse Holo] #96,1,1,1,0,covered_exact,do_not_import
Morpeko,098/163,Normal,Uncommon,1,Morpeko #98,Morpeko #98,Morpeko #98,1,1,1,0,covered_exact,do_not_import
Steelix,099/163,Reverse Holo,Rare Holo,1,Steelix [Reverse Holo] #99,Steelix [Reverse Holo] #99,Steelix [Reverse Holo] #99,1,1,1,0,covered_exact,do_not_import
Mawile,100/163,Normal,Common,1,Mawile #100,Mawile #100,Mawile [Reverse Holo] #100; Mawile #100,1,1,2,0,covered_exact,do_not_import
Mawile,100/163,Reverse Holo,Common,1,Mawile [Reverse Holo] #100,Mawile [Reverse Holo] #100,Mawile [Reverse Holo] #100; Mawile #100,1,1,2,0,covered_exact,do_not_import
Bronzor,101/163,Normal,Common,1,Bronzor #101,Bronzor #101,Bronzor #101,1,1,1,0,covered_exact,do_not_import
Bronzong,102/163,Normal Holo,Rare Holo,1,Bronzong [Holo] #102,Bronzong #102,Bronzong #102,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Pawniard,103/163,Normal,Common,1,Pawniard #103,Pawniard #103,Pawniard [Reverse Holo] #103; Pawniard #103,1,1,2,0,covered_exact,do_not_import
Pawniard,103/163,Reverse Holo,Common,1,Pawniard [Reverse Holo] #103,Pawniard [Reverse Holo] #103,Pawniard [Reverse Holo] #103; Pawniard #103,1,1,2,0,covered_exact,do_not_import
Bisharp,104/163,Normal,Uncommon,1,Bisharp #104,Bisharp #104,Bisharp #104,1,1,1,0,covered_exact,do_not_import
Honedge,105/163,Normal,Common,1,Honedge #105,Honedge #105,Honedge #105,1,1,1,0,covered_exact,do_not_import
Doublade,106/163,Normal,Uncommon,1,Doublade #106,Doublade #106,Doublade #106,1,1,1,0,covered_exact,do_not_import
Aegislash,107/163,Normal Holo,Rare Holo,1,Aegislash [Holo] #107,Aegislash #107,Aegislash [Holo] #107,1,0,1,0,covered_exact,do_not_import
Spearow,111/163,Normal,Common,1,Spearow #111,Spearow #111,Spearow [Reverse Holo] #111; Spearow #111,1,1,2,0,covered_exact,do_not_import
Spearow,111/163,Reverse Holo,Common,1,Spearow [Reverse Holo] #111,Spearow [Reverse Holo] #111,Spearow [Reverse Holo] #111; Spearow #111,1,1,2,0,covered_exact,do_not_import
Fearow,112/163,Normal,Uncommon,1,Fearow #112,Fearow #112,Fearow #112; Fearow [Reverse Holo] #112,1,1,2,0,covered_exact,do_not_import
Fearow,112/163,Reverse Holo,Uncommon,2,Fearow [Reverse Holo] #112,Fearow [Reverse Holo] #112,Fearow #112; Fearow [Reverse Holo] #112,1,1,2,1,variant_quantity_gap,import_quantity_gap
Lickitung,113/163,Normal,Common,1,Lickitung #113,Lickitung #113,Lickitung #113,1,1,1,0,covered_exact,do_not_import
Lickilicky,114/163,Normal,Rare,1,Lickilicky #114,Lickilicky #114,Lickilicky #114,1,1,1,0,covered_exact,do_not_import
Glameow,115/163,Normal,Common,1,Glameow #115,Glameow #115,Glameow [Reverse Holo] #115; Glameow #115,1,1,2,0,covered_exact,do_not_import
Glameow,115/163,Reverse Holo,Common,1,Glameow [Reverse Holo] #115,Glameow [Reverse Holo] #115,Glameow [Reverse Holo] #115; Glameow #115,1,1,2,0,covered_exact,do_not_import
Purugly,116/163,Normal,Uncommon,1,Purugly #116,Purugly #116,Purugly #116,1,1,1,0,covered_exact,do_not_import
Stoutland V,117/163,Normal Holo,Holo Rare V,1,Stoutland V [Holo] #117,Stoutland V #117,Stoutland V #117,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Bouffalant,118/163,Normal,Uncommon,1,Bouffalant #118,Bouffalant #118,Bouffalant #118,1,1,1,0,covered_exact,do_not_import
Drampa,119/163,Normal,Rare,1,Drampa #119,Drampa #119,Drampa #119,1,1,1,0,covered_exact,do_not_import
Indeedee,120/163,Normal,Uncommon,1,Indeedee #120,Indeedee #120,Indeedee #120,1,1,1,0,covered_exact,do_not_import
Bruno,121/163,Normal,Uncommon,1,Bruno #121,Bruno #121,Bruno #121,1,1,1,0,covered_exact,do_not_import
Camping Gear,122/163,Normal,Uncommon,1,Camping Gear #122,Camping Gear #122,Camping Gear #122; Camping Gear [Reverse Holo] #122,1,1,2,0,covered_exact,do_not_import
Camping Gear,122/163,Reverse Holo,Uncommon,1,Camping Gear [Reverse Holo] #122,Camping Gear [Reverse Holo] #122,Camping Gear #122; Camping Gear [Reverse Holo] #122,1,1,2,0,covered_exact,do_not_import
Cheryl,123/163,Normal,Uncommon,1,Cheryl #123,Cheryl #123,Cheryl [Reverse Holo] #123; Cheryl #123,1,1,2,0,covered_exact,do_not_import
Cheryl,123/163,Reverse Holo,Uncommon,1,Cheryl [Reverse Holo] #123,Cheryl [Reverse Holo] #123,Cheryl [Reverse Holo] #123; Cheryl #123,1,1,2,0,covered_exact,do_not_import
Energy Recycler,124/163,Normal,Uncommon,1,Energy Recycler #124,Energy Recycler #124,Energy Recycler #124,1,1,1,0,covered_exact,do_not_import
Escape Rope,125/163,Normal,Uncommon,1,Escape Rope #125,Escape Rope #125,Escape Rope #125,1,1,1,0,covered_exact,do_not_import
Exp. Share,126/163,Reverse Holo,Uncommon,2,Exp. Share [Reverse Holo] #126,Exp. Share [Reverse Holo] #126,Exp. Share [Reverse Holo] #126,1,1,1,1,variant_quantity_gap,import_quantity_gap
Korrina's Focus,128/163,Normal,Uncommon,1,Korrina's Focus #128,Korrina's Focus #128,Korrina's Focus #128,1,1,1,0,covered_exact,do_not_import
Level Ball,129/163,Normal,Uncommon,1,Level Ball #129,Level Ball #129,Level Ball #129,1,1,1,0,covered_exact,do_not_import
Level Ball,129/163,Reverse Holo,Uncommon,1,Level Ball [Reverse Holo] #129,Level Ball [Reverse Holo] #129,Level Ball #129,0,0,1,1,variant_quantity_gap,import_quantity_gap
Phoebe,130/163,Normal,Uncommon,1,Phoebe #130,Phoebe #130,Phoebe #130,1,1,1,0,covered_exact,do_not_import
Rapid Strike Scroll of Swirls,131/163,Normal,Uncommon,1,Rapid Strike Scroll of Swirls #131,Rapid Strike Scroll of Swirls #131,Rapid Strike Scroll of Swirls #131,1,1,1,0,covered_exact,do_not_import
Rapid Strike Style Mustard,132/163,Normal,Uncommon,1,Rapid Strike Style Mustard #132,Rapid Strike Style Mustard #132,Rapid Strike Style Mustard #132,1,1,1,0,covered_exact,do_not_import
Single Strike Scroll of Scorn,133/163,Normal,Uncommon,1,Single Strike Scroll of Scorn #133,Single Strike Scroll of Scorn #133,Single Strike Scroll of Scorn #133,1,1,1,0,covered_exact,do_not_import
Single Strike Style Mustard,134/163,Normal,Uncommon,1,Single Strike Style Mustard #134,Single Strike Style Mustard #134,Single Strike Style Mustard #134,1,1,1,0,covered_exact,do_not_import
Sordward and Shielbert,135/163,Normal,Uncommon,1,Sordward and Shielbert #135,Sordward and Shielbert #135,Sordward and Shielbert #135,1,1,1,0,covered_exact,do_not_import
Tool Jammer,136/163,Normal,Uncommon,1,Tool Jammer #136,Tool Jammer #136,Tool Jammer #136; Tool Jammer [Reverse Holo] #136,1,1,2,0,covered_exact,do_not_import
Tool Jammer,136/163,Reverse Holo,Uncommon,1,Tool Jammer [Reverse Holo] #136,Tool Jammer [Reverse Holo] #136,Tool Jammer #136; Tool Jammer [Reverse Holo] #136,1,1,2,0,covered_exact,do_not_import
Tower of Darkness,137/163,Normal,Uncommon,1,Tower of Darkness #137,Tower of Darkness #137,Tower of Darkness [Reverse Holo] #137; Tower of Darkness #137,1,1,2,0,covered_exact,do_not_import
Tower of Darkness,137/163,Reverse Holo,Uncommon,1,Tower of Darkness [Reverse Holo] #137,Tower of Darkness [Reverse Holo] #137,Tower of Darkness [Reverse Holo] #137; Tower of Darkness #137,1,1,2,0,covered_exact,do_not_import
Tower of Waters,138/163,Normal,Uncommon,1,Tower of Waters #138,Tower of Waters #138,Tower of Waters #138,1,1,1,0,covered_exact,do_not_import
Urn of Vitality,139/163,Normal,Uncommon,1,Urn of Vitality #139,Urn of Vitality #139,Urn of Vitality #139,1,1,1,0,covered_exact,do_not_import
Rapid Strike Energy,140/163,Normal,Uncommon,1,Rapid Strike Energy #140,Rapid Strike Energy #140,Rapid Strike Energy #140,1,1,1,0,covered_exact,do_not_import
Single Strike Energy,141/163,Normal,Uncommon,1,Single Strike Energy #141,Single Strike Energy #141,Single Strike Energy #141; Single Strike Energy [Reverse Holo] #141,1,1,2,0,covered_exact,do_not_import
Single Strike Energy,141/163,Reverse Holo,Uncommon,1,Single Strike Energy [Reverse Holo] #141,Single Strike Energy [Reverse Holo] #141,Single Strike Energy #141; Single Strike Energy [Reverse Holo] #141,1,1,2,0,covered_exact,do_not_import
Necrozma V,149/163,Normal Holo,Rare Ultra,1,Necrozma V [Holo] #149,Necrozma V #149,Necrozma V #149,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Korrina's Focus,160/163,Normal Holo,Rare Ultra,1,Korrina's Focus [Holo] #160,Korrina's Focus #160,,0,0,0,1,base_absent,import
