source-expansion,source-card-name,source-card-number,source-variant,source-rarity,generated-set,generated-product-name,identity,source-quantity,existing-quantity
Ascended Heroes,Erika's Oddish,001/217,Normal,Common,Pokemon Ascended Heroes,Erika's Oddish #1,ascended heroes | erika s oddish | 1 |  | ungraded,1,0
Ascended Heroes,Pikachu,055/217,Normal,Common,Pokemon Ascended Heroes,Pikachu #55,ascended heroes | pikachu | 55 |  | ungraded,1,0
Ascended Heroes,Voltorb ex,058/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Voltorb ex [Holo] #58,ascended heroes | voltorb ex | 58 | holo | ungraded,1,0
Ascended Heroes,Tynamo,059/217,Normal,Common,Pokemon Ascended Heroes,Tynamo #59,ascended heroes | tynamo | 59 |  | ungraded,1,0
Ascended Heroes,Eelektrik,060/217,Normal,Uncommon,Pokemon Ascended Heroes,Eelektrik #60,ascended heroes | eelektrik | 60 |  | ungraded,1,0
Ascended Heroes,Charjabug,065/217,Normal,Common,Pokemon Ascended Heroes,Charjabug #65,ascended heroes | charjabug | 65 |  | ungraded,1,0
Ascended Heroes,Vikavolt,066/217,Normal,Uncommon,Pokemon Ascended Heroes,Vikavolt #66,ascended heroes | vikavolt | 66 |  | ungraded,1,0
Ascended Heroes,Tapu Koko,067/217,Normal Holo,Rare,Pokemon Ascended Heroes,Tapu Koko [Holo] #67,ascended heroes | tapu koko | 67 | holo | ungraded,1,0
Ascended Heroes,Iono's Tadbulb,069/217,Normal,Common,Pokemon Ascended Heroes,Iono's Tadbulb #69,ascended heroes | iono s tadbulb | 69 |  | ungraded,1,0
Ascended Heroes,Iono's Kilowattrel,072/217,Normal Holo,Rare,Pokemon Ascended Heroes,Iono's Kilowattrel [Holo] #72,ascended heroes | iono s kilowattrel | 72 | holo | ungraded,1,0
Ascended Heroes,Clefairy,074/217,Normal,Common,Pokemon Ascended Heroes,Clefairy #74,ascended heroes | clefairy | 74 |  | ungraded,1,0
Ascended Heroes,Clefable,075/217,Normal,Uncommon,Pokemon Ascended Heroes,Clefable #75,ascended heroes | clefable | 75 |  | ungraded,1,0
Ascended Heroes,Lillie's Clefairy ex,076/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Lillie's Clefairy ex [Holo] #76,ascended heroes | lillie s clefairy ex | 76 | holo | ungraded,1,0
Ascended Heroes,Team Rocket's Exeggcute,077/217,Normal,Common,Pokemon Ascended Heroes,Team Rocket's Exeggcute #77,ascended heroes | team rocket s exeggcute | 77 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Exeggutor,078/217,Normal Holo,Rare,Pokemon Ascended Heroes,Team Rocket's Exeggutor [Holo] #78,ascended heroes | team rocket s exeggutor | 78 | holo | ungraded,1,0
Ascended Heroes,Togepi,080/217,Love Ball Reverse Holo,Common,Pokemon Ascended Heroes,Togepi [Love Ball] #80,ascended heroes | togepi | 80 | love ball | ungraded,1,0
Ascended Heroes,Togetic,081/217,Normal,Common,Pokemon Ascended Heroes,Togetic #81,ascended heroes | togetic | 81 |  | ungraded,1,0
Ascended Heroes,Marill,083/217,Normal,Common,Pokemon Ascended Heroes,Marill #83,ascended heroes | marill | 83 |  | ungraded,1,0
Ascended Heroes,Misdreavus,085/217,Normal,Common,Pokemon Ascended Heroes,Misdreavus #85,ascended heroes | misdreavus | 85 |  | ungraded,1,0
Ascended Heroes,Mismagius,086/217,Normal Holo,Rare,Pokemon Ascended Heroes,Mismagius [Holo] #86,ascended heroes | mismagius | 86 | holo | ungraded,1,0
Ascended Heroes,Mismagius,086/217,Energy Reverse Holo,Rare,Pokemon Ascended Heroes,Mismagius [Reverse Holo] #86,ascended heroes | mismagius | 86 | reverse holo | ungraded,1,0
Ascended Heroes,Ralts,087/217,Normal,Common,Pokemon Ascended Heroes,Ralts #87,ascended heroes | ralts | 87 |  | ungraded,1,0
Ascended Heroes,Kirlia,088/217,Normal,Common,Pokemon Ascended Heroes,Kirlia #88,ascended heroes | kirlia | 88 |  | ungraded,1,0
Ascended Heroes,Shuppet,090/217,Normal,Common,Pokemon Ascended Heroes,Shuppet #90,ascended heroes | shuppet | 90 |  | ungraded,1,0
Ascended Heroes,Banette,091/217,Normal,Uncommon,Pokemon Ascended Heroes,Banette #91,ascended heroes | banette | 91 |  | ungraded,1,0
Ascended Heroes,Rotom,092/217,Normal,Common,Pokemon Ascended Heroes,Rotom #92,ascended heroes | rotom | 92 |  | ungraded,1,0
Ascended Heroes,Swirlix,093/217,Normal,Common,Pokemon Ascended Heroes,Swirlix #93,ascended heroes | swirlix | 93 |  | ungraded,1,0
Ascended Heroes,Slurpuff,094/217,Normal,Uncommon,Pokemon Ascended Heroes,Slurpuff #94,ascended heroes | slurpuff | 94 |  | ungraded,1,0
Ascended Heroes,Slurpuff,094/217,Energy Reverse Holo,Uncommon,Pokemon Ascended Heroes,Slurpuff [Reverse Holo] #94,ascended heroes | slurpuff | 94 | reverse holo | ungraded,1,0
Ascended Heroes,Team Rocket's Mimikyu,097/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Mimikyu #97,ascended heroes | team rocket s mimikyu | 97 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Diglett,100/217,Normal,Common,Pokemon Ascended Heroes,Team Rocket's Diglett #100,ascended heroes | team rocket s diglett | 100 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Dugtrio,101/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Dugtrio #101,ascended heroes | team rocket s dugtrio | 101 |  | ungraded,1,0
Ascended Heroes,Hitmontop,102/217,Normal,Common,Pokemon Ascended Heroes,Hitmontop #102,ascended heroes | hitmontop | 102 |  | ungraded,1,0
Ascended Heroes,Meditite,103/217,Normal,Common,Pokemon Ascended Heroes,Meditite #103,ascended heroes | meditite | 103 |  | ungraded,1,0
Ascended Heroes,Solrock,106/217,Normal,Uncommon,Pokemon Ascended Heroes,Solrock #106,ascended heroes | solrock | 106 |  | ungraded,1,0
Ascended Heroes,Groudon,108/217,Normal Holo,Rare,Pokemon Ascended Heroes,Groudon [Holo] #108,ascended heroes | groudon | 108 | holo | ungraded,1,0
Ascended Heroes,Cynthia's Gible,109/217,Normal,Common,Pokemon Ascended Heroes,Cynthia's Gible #109,ascended heroes | cynthia s gible | 109 |  | ungraded,1,0
Ascended Heroes,Riolu,112/217,Normal,Common,Pokemon Ascended Heroes,Riolu #112,ascended heroes | riolu | 112 |  | ungraded,1,0
Ascended Heroes,Pancham,115/217,Normal,Common,Pokemon Ascended Heroes,Pancham #115,ascended heroes | pancham | 115 |  | ungraded,1,0
Ascended Heroes,Rolycoly,118/217,Normal,Common,Pokemon Ascended Heroes,Rolycoly #118,ascended heroes | rolycoly | 118 |  | ungraded,1,0
Ascended Heroes,Carkol,119/217,Normal,Common,Pokemon Ascended Heroes,Carkol #119,ascended heroes | carkol | 119 |  | ungraded,1,0
Ascended Heroes,Carkol,119/217,Dusk Ball Reverse Holo,Common,Pokemon Ascended Heroes,Carkol [Dusk Ball] #119,ascended heroes | carkol | 119 | dusk ball | ungraded,1,0
Ascended Heroes,Coalossal,120/217,Normal Holo,Rare,Pokemon Ascended Heroes,Coalossal [Holo] #120,ascended heroes | coalossal | 120 | holo | ungraded,1,0
Ascended Heroes,Gastly,123/217,Normal,Common,Pokemon Ascended Heroes,Gastly #123,ascended heroes | gastly | 123 |  | ungraded,1,0
Ascended Heroes,Haunter,124/217,Normal,Uncommon,Pokemon Ascended Heroes,Haunter #124,ascended heroes | haunter | 124 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Murkrow,126/217,Normal,Common,Pokemon Ascended Heroes,Team Rocket's Murkrow #126,ascended heroes | team rocket s murkrow | 126 |  | ungraded,1,0
Ascended Heroes,Poochyena,128/217,Normal,Common,Pokemon Ascended Heroes,Poochyena #128,ascended heroes | poochyena | 128 |  | ungraded,1,0
Ascended Heroes,Mightyena,129/217,Normal,Uncommon,Pokemon Ascended Heroes,Mightyena #129,ascended heroes | mightyena | 129 |  | ungraded,1,0
Ascended Heroes,Galarian Zigzagoon,130/217,Normal,Common,Pokemon Ascended Heroes,Galarian Zigzagoon #130,ascended heroes | galarian zigzagoon | 130 |  | ungraded,1,0
Ascended Heroes,Galarian Linoone,131/217,Normal,Common,Pokemon Ascended Heroes,Galarian Linoone #131,ascended heroes | galarian linoone | 131 |  | ungraded,1,0
Ascended Heroes,Scraggy,134/217,Normal,Common,Pokemon Ascended Heroes,Scraggy #134,ascended heroes | scraggy | 134 |  | ungraded,1,0
Ascended Heroes,Pangoro,140/217,Normal,Uncommon,Pokemon Ascended Heroes,Pangoro #140,ascended heroes | pangoro | 140 |  | ungraded,1,0
Ascended Heroes,Pecharunt,143/217,Normal Holo,Rare,Pokemon Ascended Heroes,Pecharunt [Holo] #143,ascended heroes | pecharunt | 143 | holo | ungraded,1,0
Ascended Heroes,Pecharunt,143/217,Poké Ball Reverse Holo,Rare,Pokemon Ascended Heroes,Pecharunt [Poke Ball] #143,ascended heroes | pecharunt | 143 | poke ball | ungraded,1,0
Ascended Heroes,Mawile,144/217,Normal,Uncommon,Pokemon Ascended Heroes,Mawile #144,ascended heroes | mawile | 144 |  | ungraded,1,0
Ascended Heroes,Pawniard,146/217,Normal,Common,Pokemon Ascended Heroes,Pawniard #146,ascended heroes | pawniard | 146 |  | ungraded,1,0
Ascended Heroes,Bisharp,147/217,Normal,Common,Pokemon Ascended Heroes,Bisharp #147,ascended heroes | bisharp | 147 |  | ungraded,1,0
Ascended Heroes,Kingambit,148/217,Normal Holo,Rare,Pokemon Ascended Heroes,Kingambit [Holo] #148,ascended heroes | kingambit | 148 | holo | ungraded,1,0
Ascended Heroes,Dratini,150/217,Normal,Common,Pokemon Ascended Heroes,Dratini #150,ascended heroes | dratini | 150 |  | ungraded,1,0
Ascended Heroes,Dragonair,151/217,Normal,Uncommon,Pokemon Ascended Heroes,Dragonair #151,ascended heroes | dragonair | 151 |  | ungraded,1,0
Ascended Heroes,Mega Dragonite ex,152/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Mega Dragonite ex [Holo] #152,ascended heroes | mega dragonite ex | 152 | holo | ungraded,1,0
Ascended Heroes,Noivern,157/217,Normal,Uncommon,Pokemon Ascended Heroes,Noivern #157,ascended heroes | noivern | 157 |  | ungraded,1,0
Ascended Heroes,Dreepy,158/217,Normal,Common,Pokemon Ascended Heroes,Dreepy #158,ascended heroes | dreepy | 158 |  | ungraded,1,0
Ascended Heroes,Drakloak,159/217,Normal,Common,Pokemon Ascended Heroes,Drakloak #159,ascended heroes | drakloak | 159 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Meowth,161/217,Normal,Common,Pokemon Ascended Heroes,Team Rocket's Meowth #161,ascended heroes | team rocket s meowth | 161 |  | ungraded,1,0
Ascended Heroes,Larry's Dunsparce,163/217,Normal,Common,Pokemon Ascended Heroes,Larry's Dunsparce #163,ascended heroes | larry s dunsparce | 163 |  | ungraded,1,0
Ascended Heroes,Skitty,165/217,Normal,Common,Pokemon Ascended Heroes,Skitty #165,ascended heroes | skitty | 165 |  | ungraded,1,0
Ascended Heroes,Delcatty,166/217,Normal,Uncommon,Pokemon Ascended Heroes,Delcatty #166,ascended heroes | delcatty | 166 |  | ungraded,1,0
Ascended Heroes,Larry's Starly,168/217,Normal,Common,Pokemon Ascended Heroes,Larry's Starly #168,ascended heroes | larry s starly | 168 |  | ungraded,1,0
Ascended Heroes,Larry's Staravia,169/217,Normal,Uncommon,Pokemon Ascended Heroes,Larry's Staravia #169,ascended heroes | larry s staravia | 169 |  | ungraded,1,0
Ascended Heroes,Mega Audino ex,172/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Mega Audino ex [Holo] #172,ascended heroes | mega audino ex | 172 | holo | ungraded,1,0
Ascended Heroes,Larry's Rufflet,173/217,Normal,Common,Pokemon Ascended Heroes,Larry's Rufflet #173,ascended heroes | larry s rufflet | 173 |  | ungraded,1,0
Ascended Heroes,Larry's Rufflet,173/217,Energy Reverse Holo,Common,Pokemon Ascended Heroes,Larry's Rufflet [Reverse Holo] #173,ascended heroes | larry s rufflet | 173 | reverse holo | ungraded,1,0
Ascended Heroes,Larry's Braviary,174/217,Normal,Uncommon,Pokemon Ascended Heroes,Larry's Braviary #174,ascended heroes | larry s braviary | 174 |  | ungraded,1,0
Ascended Heroes,Larry's Komala,175/217,Normal,Common,Pokemon Ascended Heroes,Larry's Komala #175,ascended heroes | larry s komala | 175 |  | ungraded,1,0
Ascended Heroes,Drampa,176/217,Normal,Uncommon,Pokemon Ascended Heroes,Drampa #176,ascended heroes | drampa | 176 |  | ungraded,1,0
Ascended Heroes,Hop's Cramorant,177/217,Normal,Uncommon,Pokemon Ascended Heroes,Hop's Cramorant #177,ascended heroes | hop s cramorant | 177 |  | ungraded,1,0
Ascended Heroes,Air Balloon,181/217,Normal,Uncommon,Pokemon Ascended Heroes,Air Balloon #181,ascended heroes | air balloon | 181 |  | ungraded,1,0
Ascended Heroes,Anthea & Concordia,182/217,Normal,Uncommon,Pokemon Ascended Heroes,Anthea & Concordia #182,ascended heroes | anthea concordia | 182 |  | ungraded,1,0
Ascended Heroes,Boss's Orders,183/217,Normal,Uncommon,Pokemon Ascended Heroes,Boss's Orders #183,ascended heroes | boss s orders | 183 |  | ungraded,1,0
Ascended Heroes,Buddy-Buddy Poffin,184/217,Normal,Common,Pokemon Ascended Heroes,Buddy-Buddy Poffin #184,ascended heroes | buddy buddy poffin | 184 |  | ungraded,1,0
Ascended Heroes,Canari,185/217,Normal,Uncommon,Pokemon Ascended Heroes,Canari #185,ascended heroes | canari | 185 |  | ungraded,1,0
Ascended Heroes,Counter Gain,186/217,Normal,Common,Pokemon Ascended Heroes,Counter Gain #186,ascended heroes | counter gain | 186 |  | ungraded,1,0
Ascended Heroes,Fighting Gong,187/217,Normal,Uncommon,Pokemon Ascended Heroes,Fighting Gong #187,ascended heroes | fighting gong | 187 |  | ungraded,1,0
Ascended Heroes,Forest of Vitality,188/217,Normal,Uncommon,Pokemon Ascended Heroes,Forest of Vitality #188,ascended heroes | forest of vitality | 188 |  | ungraded,1,0
Ascended Heroes,Glass Trumpet,189/217,Normal,Common,Pokemon Ascended Heroes,Glass Trumpet #189,ascended heroes | glass trumpet | 189 |  | ungraded,1,0
Ascended Heroes,Iris's Fighting Spirit,190/217,Normal,Uncommon,Pokemon Ascended Heroes,Iris's Fighting Spirit #190,ascended heroes | iris s fighting spirit | 190 |  | ungraded,1,0
Ascended Heroes,Light Ball,191/217,Reverse Holo,Uncommon,Pokemon Ascended Heroes,Light Ball [Reverse Holo] #191,ascended heroes | light ball | 191 | reverse holo | ungraded,1,0
Ascended Heroes,Lillie's Determination,192/217,Normal,Uncommon,Pokemon Ascended Heroes,Lillie's Determination #192,ascended heroes | lillie s determination | 192 |  | ungraded,1,0
Ascended Heroes,Mega Signal,193/217,Normal,Common,Pokemon Ascended Heroes,Mega Signal #193,ascended heroes | mega signal | 193 |  | ungraded,1,0
Ascended Heroes,Night Stretcher,196/217,Normal,Common,Pokemon Ascended Heroes,Night Stretcher #196,ascended heroes | night stretcher | 196 |  | ungraded,1,0
Ascended Heroes,Nighttime Mine,197/217,Normal,Uncommon,Pokemon Ascended Heroes,Nighttime Mine #197,ascended heroes | nighttime mine | 197 |  | ungraded,1,0
Ascended Heroes,Poké Pad,198/217,Normal,Common,Pokemon Ascended Heroes,Poké Pad #198,ascended heroes | poke pad | 198 |  | ungraded,1,0
Ascended Heroes,Premium Power Pro,199/217,Normal,Uncommon,Pokemon Ascended Heroes,Premium Power Pro #199,ascended heroes | premium power pro | 199 |  | ungraded,1,0
Ascended Heroes,Premium Power Pro,199/217,Reverse Holo,Uncommon,Pokemon Ascended Heroes,Premium Power Pro [Reverse Holo] #199,ascended heroes | premium power pro | 199 | reverse holo | ungraded,1,0
Ascended Heroes,Surfer,200/217,Normal,Common,Pokemon Ascended Heroes,Surfer #200,ascended heroes | surfer | 200 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Archer,201/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Archer #201,ascended heroes | team rocket s archer | 201 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Factory,203/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Factory #203,ascended heroes | team rocket s factory | 203 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Great Ball,205/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Great Ball #205,ascended heroes | team rocket s great ball | 205 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Hypnotizer,206/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Hypnotizer #206,ascended heroes | team rocket s hypnotizer | 206 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Petrel,207/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Petrel #207,ascended heroes | team rocket s petrel | 207 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Petrel,207/217,Reverse Holo,Uncommon,Pokemon Ascended Heroes,Team Rocket's Petrel [Reverse Holo] #207,ascended heroes | team rocket s petrel | 207 | reverse holo | ungraded,1,0
Ascended Heroes,Team Rocket's Proton,208/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Proton #208,ascended heroes | team rocket s proton | 208 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Watchtower,210/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Watchtower #210,ascended heroes | team rocket s watchtower | 210 |  | ungraded,1,0
Ascended Heroes,Thick Scale,211/217,Normal,Uncommon,Pokemon Ascended Heroes,Thick Scale #211,ascended heroes | thick scale | 211 |  | ungraded,1,0
Ascended Heroes,Ultra Ball,213/217,Normal,Common,Pokemon Ascended Heroes,Ultra Ball #213,ascended heroes | ultra ball | 213 |  | ungraded,1,0
Ascended Heroes,Urbain,214/217,Normal,Uncommon,Pokemon Ascended Heroes,Urbain #214,ascended heroes | urbain | 214 |  | ungraded,1,0
Ascended Heroes,Waitress,215/217,Normal,Common,Pokemon Ascended Heroes,Waitress #215,ascended heroes | waitress | 215 |  | ungraded,1,0
Ascended Heroes,Prism Energy,216/217,Normal,Uncommon,Pokemon Ascended Heroes,Prism Energy #216,ascended heroes | prism energy | 216 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Energy,217/217,Normal,Uncommon,Pokemon Ascended Heroes,Team Rocket's Energy #217,ascended heroes | team rocket s energy | 217 |  | ungraded,1,0
Ascended Heroes,Salazzle,224/217,Normal Holo,Illustration Rare,Pokemon Ascended Heroes,Salazzle [Holo] #224,ascended heroes | salazzle | 224 | holo | ungraded,1,0
Ascended Heroes,Hop's Trevenant,237/217,Normal Holo,Illustration Rare,Pokemon Ascended Heroes,Hop's Trevenant [Holo] #237,ascended heroes | hop s trevenant | 237 | holo | ungraded,1,0
Ascended Heroes,Mightyena,243/217,Normal Holo,Illustration Rare,Pokemon Ascended Heroes,Mightyena [Holo] #243,ascended heroes | mightyena | 243 | holo | ungraded,1,0
Ascended Heroes,Mega Hawlucha ex,268/217,Normal Holo,Mega Attack Rare,Pokemon Ascended Heroes,Mega Hawlucha ex [Holo] #268,ascended heroes | mega hawlucha ex | 268 | holo | ungraded,1,0
Prismatic Evolutions,Exeggcute,001/131,Normal,Common,Pokemon Prismatic Evolutions,Exeggcute #1,prismatic evolutions | exeggcute | 1 |  | ungraded,1,1
Prismatic Evolutions,Exeggcute,001/131,Reverse Holo,Common,Pokemon Prismatic Evolutions,Exeggcute [Reverse] #1,prismatic evolutions | exeggcute | 1 | reverse | ungraded,1,1
Prismatic Evolutions,Exeggutor,002/131,Normal,Uncommon,Pokemon Prismatic Evolutions,Exeggutor #2,prismatic evolutions | exeggutor | 2 |  | ungraded,1,1
